date,title,price
2020-03-27,Pedro y el capitán,99.0
2020-03-27,All My Sons,223.0
2020-03-27,Persona: A Biography of Yukio Mishima,981.2
2020-03-27,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,219.69
2020-03-27,On Confidence,223.0
2020-03-27,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,305.88
2020-03-27,Relationships,383.22
2020-03-27,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-27,Chaos: Making a New Science,339.71
2020-03-27,A Darker Shade of Magic,275.19
2020-03-27,From Disgust to Humanity: Sexual Orientation and Constitutional Law,530.37
2020-03-27,Beyond Good and Evil,314.4
2020-03-27,"The Hobbit: Or, There and Back Again",248.63
2020-03-27,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-27,The Whale That Fell in Love with a Submarine,340.69
2020-03-27,Shōgun: The Epic Novel of Japan,667.5
2020-03-27,Someone Who Will Love You in All Your Damaged Glory: Stories,319.37
2020-03-27,"Runaway Horses: The Sea of Fertility, 2",311.46
2020-03-27,"Anger and Forgiveness: Resentment, Generosity, Justice",441.92
2020-03-27,Before the Coffee Gets Cold,301.31
2020-03-27,Human Acts,352.53
2020-03-28,Confessions of a Mask,253.64
2020-03-28,The Hunger Games Trilogy Boxed Set,733.62
2020-03-28,"First, We Make the Beast Beautiful: A New Journey Through Anxiety",386.0
2020-03-28,I'm Thinking of Ending Things,223.0
2020-03-28,The Godfather,291.63
2020-03-28,Colorless Tsukuru Tazaki and His Years of Pilgrimage,615.0
2020-03-28,The Remains of the Day,544.0
2020-03-28,The Elephant Vanishes,346.89
2020-03-28,No Longer Human,254.56
2020-03-28,La Inmortalidad,248.0
2020-03-28,"Call Me by Your Name, Portada puede variar",273.1
2020-03-28,Strange Weather in Tokyo,296.26
2020-03-28,Kokoro,268.46
2020-03-28,Notre Dame de París / Notre-Dame of Paris,285.17
2020-03-28,Memoirs of a Geisha,824.32
2020-03-28,Dance Dance Dance,341.6
2020-03-28,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-03-28,God Help the Child,484.36
2020-03-28,Anna Karenina,370.0
2020-03-28,The Selfish Gene: 40th Anniversary Edition,222.13
2020-03-28,The Hate U Give Collector's Edition,242.98
2020-03-28,"The Temple of Dawn: The Sea of Fertility, 3",315.03
2020-03-28,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-03-28,Pedro y el capitán,99.0
2020-03-28,All My Sons,223.0
2020-03-28,Persona: A Biography of Yukio Mishima,981.2
2020-03-28,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,219.69
2020-03-28,On Confidence,223.0
2020-03-28,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,293.25
2020-03-28,Relationships,367.4
2020-03-28,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-28,Chaos: Making a New Science,347.23
2020-03-28,A Darker Shade of Magic,263.83
2020-03-28,From Disgust to Humanity: Sexual Orientation and Constitutional Law,508.47
2020-03-28,Beyond Good and Evil,314.4
2020-03-28,"The Hobbit: Or, There and Back Again",238.37
2020-03-28,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-28,The Whale That Fell in Love with a Submarine,367.0
2020-03-28,Shōgun: The Epic Novel of Japan,667.5
2020-03-28,Someone Who Will Love You in All Your Damaged Glory: Stories,385.0
2020-03-28,"Runaway Horses: The Sea of Fertility, 2",411.0
2020-03-28,"Anger and Forgiveness: Resentment, Generosity, Justice",423.67
2020-03-28,Before the Coffee Gets Cold,288.87
2020-03-28,Human Acts,448.34
2020-03-29,Confessions of a Mask,258.38
2020-03-29,The Hunger Games Trilogy Boxed Set,747.33
2020-03-29,"First, We Make the Beast Beautiful: A New Journey Through Anxiety",386.0
2020-03-29,I'm Thinking of Ending Things,223.0
2020-03-29,The Godfather,297.08
2020-03-29,Colorless Tsukuru Tazaki and His Years of Pilgrimage,693.0
2020-03-29,The Remains of the Day,538.0
2020-03-29,The Elephant Vanishes,408.0
2020-03-29,No Longer Human,336.73
2020-03-29,La Inmortalidad,248.0
2020-03-29,"Call Me by Your Name, Portada puede variar",278.2
2020-03-29,Strange Weather in Tokyo,336.39
2020-03-29,Kokoro,273.48
2020-03-29,Notre Dame de París / Notre-Dame of Paris,285.17
2020-03-29,Memoirs of a Geisha,591.95
2020-03-29,Dance Dance Dance,341.6
2020-03-29,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-03-29,God Help the Child,387.49
2020-03-29,Anna Karenina,370.0
2020-03-29,The Selfish Gene: 40th Anniversary Edition,226.29
2020-03-29,The Hate U Give Collector's Edition,247.52
2020-03-29,"The Temple of Dawn: The Sea of Fertility, 3",315.03
