Kokoro,345.12,346.59,343.65,343.65,340.74,341.45,338.63,341.5,341.5,350.39,360.53,360.53,362.22,362.22,363.02,357.4,352.73,348.94,348.94,345.93,345.93,348.18,348.18,345.95,343.17,343.18,343.18,343.91,346.13,346.11,345.38,357.56,368.72,368.72,371.48,360.12,361.12,358.71,350.22,350.22,349.15,347.79,347.79,349.28,346.32,346.32,346.32,349.28,349.28,338.51,338.49,337.10
Kokoro,345.12,346.59,343.65,343.65,340.74,341.45,338.63,341.5,341.5,350.39,360.53,360.53,362.22,362.22,363.02,357.4,352.73,348.94,348.94,345.93,345.93,348.18,348.18,345.95,343.17,343.18,343.18,343.91,346.13,346.11,345.38,357.56,368.72,368.72,371.48,360.12,361.12,358.71,350.22,350.22,349.15,347.79,347.79,349.28,346.32,346.32,346.32,349.28,349.28,338.51,338.49,337.10
Memoirs of a Geisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dance Dance Dance,341.3,341.3,341.3,341.3,341.3,379.22,379.22,379.22,379.22,379.22,379.22,379.22,379.22,379.22,379.22,379.22,379.22,379.22,379.22,379.22,366.4,366.4,366.4,366.4,366.4,366.4,366.4,366.4,366.4,361.79,,,,,,,,,,,,,,,,,,,,,,
"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",571.87,547.05,542.39,542.39,537.81,571.87,571.87,559.21,559.1,572.29,588.83,588.94,591.57,591.57,592.86,583.73,576.1,569.91,569.91,565.04,565.04,568.7,568.7,565.07,563.21,561.4,561.4,564.7,568.33,568.3,563.53,584.44,626.88,608.83,576.57,563.48,559.33,556.85,556.85,556.85,559.98,567.07,567.07,569.48,564.68,564.68,564.68,569.48,569.48,557.13,557.13,557.13
God Help the Child,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,658.71,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79,625.79
Anna Karenina,483.2,485.28,479.64,496.66,492.91,495.27,491.18,496.88,496.88,510.45,525.7,525.68,527.9,527.66,520.67,520.67,514.32,508.79,508.79,510.79,504.88,508.14,510.84,507.8,501.44,501.03,500.59,505.62,509.09,509.06,507.99,511.18,513.16,513.16,512.1,511.02,505.66,505.18,502.58,503.01,508.38,514.82,515.27,517.45,513.09,513.09,513.09,517.45,517.45,501.53,501.49,499.43
The Selfish Gene: 40th Anniversary Edition,327.22,327.22,322.99,322.99,327.22,327.11,324.4,326.06,326.28,327.22,327.22,327.22,327.22,327.22,351.05,345.16,340.42,334.0,334.0,334.0,328.27,332.43,326.36,324.27,320.2,320.22,320.22,320.9,322.96,322.94,320.23,334.0,334.0,333.1,320.26,319.57,316.23,316.2,316.21,316.21,318.21,322.24,322.24,323.62,320.89,320.89,320.89,323.62,323.62,313.64,313.61,312.41
"The Temple of Dawn: The Sea of Fertility, 3",372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,372.56,366.4,366.4,366.4,366.4,366.4,366.4,366.4,366.4,366.4,366.4,366.4,366.4,348.08,341.12,336.23,329.51,322.92,316.46,307.88,301.72,295.85,289.93,284.13,278.45,272.88,267.42,263.26,263.26,257.99,247.38,242.43,238.53
"The Decay of the Angel: The Sea of Fertility, 4",308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.00
Pedro y el capitán,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,,,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.00
All My Sons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Confidence,273.87,275.04,272.7,272.7,270.4,270.97,268.7,270.97,270.97,278.02,286.09,286.09,287.37,287.37,283.56,283.56,279.84,276.82,276.82,276.82,274.45,276.23,276.23,274.45,270.97,270.97,270.97,271.54,273.28,273.28,272.7,270.97,271.54,271.54,270.97,270.4,267.58,267.58,267.58,267.58,269.26,272.7,272.7,273.87,271.54,271.54,271.54,273.87,273.87,265.36,265.36,264.27
Come as You Are: The Surprising New Science That Will Transform Your Sex Life,413.26,413.26,413.26,413.26,413.26,413.26,413.26,413.26,413.26,413.26,413.26,413.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relationships,345.08,346.56,343.61,343.61,340.72,341.44,338.57,341.44,341.44,350.32,360.49,360.49,362.11,362.11,357.3,357.3,352.62,348.81,348.81,348.81,345.82,348.06,348.06,345.82,341.44,341.44,341.44,342.16,344.35,344.35,343.61,341.44,342.16,342.16,341.44,340.72,337.16,337.16,337.16,337.16,339.28,343.61,343.61,345.08,342.16,342.16,342.16,345.08,345.08,334.37,334.37,332.99
Mating in Captivity: Unlocking Erotic Intelligence,387.76,387.76,387.76,387.76,387.76,387.76,387.76,387.76,387.76,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,380.17,379.78,379.78,379.78,379.78
